"Time (s)","Pressure (hPa)","Altitude (m)","Time (velocity) (s)","Velocity (m/s)"
3.300150019E1,1.011774170E3,2.262517847E1,3.350145744E1,1.302531912E-1
3.400141469E1,1.011758545E3,2.275542053E1,3.450137184E1,8.140908790E-2
3.500132899E1,1.011748779E3,2.283682264E1,3.550128624E1,-1.058316690E-1
3.600124349E1,1.011761475E3,2.273100002E1,3.650120076E1,2.035215986E-2
3.700115802E1,1.011759033E3,2.275135044E1,3.750111529E1,3.663398796E-2
3.800107256E1,1.011754639E3,2.278798129E1,3.850102981E1,-2.035223211E-2
3.900098706E1,1.011757080E3,2.276763080E1,3.950094421E1,-9.972538251E-2
4.000090136E1,1.011769043E3,2.266791397E1,4.050085856E1,8.751405113E-2
4.100081576E1,1.011758545E3,2.275542053E1,4.150077289E1,-2.645781747E-2
4.200073002E1,1.011761719E3,2.272896498E1,4.250068729E1,8.140857583E-3
4.300064456E1,1.011760742E3,2.273710514E1,4.350060182E1,-4.070422429E-2
4.400055909E1,1.011765625E3,2.269640439E1,4.450051632E1,1.017604184E-2
4.500047355E1,1.011764404E3,2.270657957E1,4.550043070E1,2.299812350E-1
4.600038785E1,1.011736816E3,2.293654109E1,4.650034512E1,-1.221145339E-1
4.700030239E1,1.011751465E3,2.281443699E1,4.750025965E1,-3.866930396E-2
4.800021692E1,1.011756104E3,2.277577099E1,4.850017419E1,1.465370685E-1
4.900013145E1,1.011738525E3,2.292229554E1,4.950008869E1,-1.750301597E-1
5.000004592E1,1.011759521E3,2.274728035E1,5.050000307E1,7.733855794E-2
5.099996022E1,1.011750244E3,2.282461228E1,5.149991754E1,5.088092644E-2
5.199987485E1,1.011744141E3,2.287548886E1,5.249983214E1,-7.835387634E-1
5.299978942E1,1.011838135E3,2.209201704E1,5.349974672E1,-1.239295483E0
5.399970402E1,1.011986816E3,2.085282739E1,5.449966125E1,-1.589094435E0
5.499961848E1,1.012177490E3,1.926386888E1,5.549957560E1,-1.287782491E0
5.599953272E1,1.012332031E3,1.797619684E1,5.649948990E1,-1.200159316E0
5.699944708E1,1.012476074E3,1.677614030E1,5.749940438E1,-1.503055028E0
5.799936168E1,1.012656494E3,1.527321363E1,5.849931897E1,-1.246618651E0
5.899927625E1,1.012806152E3,1.402670148E1,5.949923353E1,-1.417262846E0
5.999919082E1,1.012976318E3,1.260955972E1,6.049913143E1,-1.425249436E0
6.099907205E1,1.013147461E3,1.118447956E1,6.149901256E1,-1.177056412E0
6.199895308E1,1.013288818E3,1.000756317E1,6.249889371E1,-1.443186162E0
6.299883435E1,1.013462158E3,8.564548368E0,6.349877496E1,-1.367793411E0
6.399871558E1,1.013626465E3,7.196917405E0,6.449865620E1,-1.452956810E0
6.499859681E1,1.013801025E3,5.744133159E0,6.549853743E1,-1.101267252E0
6.599847805E1,1.013933350E3,4.642996701E0,6.649841856E1,-1.468852776E0
6.699835908E1,1.014109863E3,3.174318670E0,6.749829970E1,-1.545829978E0
6.799824031E1,1.014295654E3,1.628672286E0,6.849818083E1,-7.697826484E-1
6.899812134E1,1.014388184E3,8.589812159E-1,6.949806186E1,-1.726347410E-1
6.999800238E1,1.014408936E3,6.863670128E-1,7.049794289E1,-1.299819178E-1
7.099788341E1,1.014424561E3,5.564005585E-1,7.149782403E1,-5.077373620E-2
7.199776464E1,1.014430664E3,5.056328525E-1,7.249770516E1,2.843326748E-2
7.299764568E1,1.014427246E3,5.340627374E-1,7.349758628E1,-1.137325855E-1
7.399752688E1,1.014440918E3,4.203436633E-1,7.449746739E1,-7.920590215E-2
7.499740791E1,1.014450439E3,3.411471840E-1,7.549734854E1,-1.421637694E-2
7.599728918E1,1.014452148E3,3.269324951E-1,7.649722979E1,-7.717428188E-2
7.699717041E1,1.014461426E3,2.497673789E-1,7.749711093E1,2.843256937E-2
7.799705144E1,1.014458008E3,2.781965658E-1,NaN,NaN
